id	description	number_of_orders	price	url
1005001336051234	OUKITEL C21 20MP селфи 6,4 ''FHD Дырокол Экран Helio P60 4000 мА/ч, Octa Core, 4 ГБ, 64 ГБ, Quad Камера Celular смартфон PK крепление для спортивной камеры XIAO	56 продано	9 339,50 руб.	//aliexpress.ru/item/1005001336051234.html?algo_pvid=09ea28f1-9461-4464-9e4a-98fa070aa617&algo_expid=09ea28f1-9461-4464-9e4a-98fa070aa617-0&btsid=0b0a182b16006740120221828e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000938839789	"В наличии UMIDIGI A7 Pro Quad Camera Android 10 OS 6,3 ""FHD + полный экран 64 Гб/128 ГБ ROM LPDDR4X Восьмиядерный глобальная Версия Телефона"	18939 продано	7 782,79 - 9 339,50 руб.	//aliexpress.ru/item/4000938839789.html?algo_pvid=09ea28f1-9461-4464-9e4a-98fa070aa617&algo_expid=09ea28f1-9461-4464-9e4a-98fa070aa617-1&btsid=0b0a182b16006740120221828e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001271475777	Cubot Note 20 Pro Quad Camera смартфон Четыре камера 6 Гб + 128ГБ NFC телефон 6,5 дюйма 4200 мАч Большая Батарея новая Android 10 система две sim-карты мобильные телефо...	2856 продано	8 561,14 руб.	//aliexpress.ru/item/4001271475777.html?algo_pvid=09ea28f1-9461-4464-9e4a-98fa070aa617&algo_expid=09ea28f1-9461-4464-9e4a-98fa070aa617-2&btsid=0b0a182b16006740120221828e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001308844267	"Отремонтированный UMIDIGI Z2 Special Edition Helio P23 2,0 ГГц 19:9 6,2 ""FHD + полный Экран 4 Гб + 64 ГБ Android 8,1 телефон 18 Вт с распознаванием лица"	23 продано	6 809,84 руб.	//aliexpress.ru/item/4001308844267.html?algo_pvid=09ea28f1-9461-4464-9e4a-98fa070aa617&algo_expid=09ea28f1-9461-4464-9e4a-98fa070aa617-3&btsid=0b0a182b16006740120221828e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001316255770	HONOR 8A смартфон 6,09 дюймов MT6765 Восьмиядерный глобальная ROM Android 9,0 разблокировка лица 3020 мАч мобильный телефон		6 927,37 руб.	//aliexpress.ru/item/1005001316255770.html?s=p&ad_pvid=202009210040126533939951649270018754263_1&algo_pvid=09ea28f1-9461-4464-9e4a-98fa070aa617&algo_expid=09ea28f1-9461-4464-9e4a-98fa070aa617-4&btsid=0b0a182b16006740120221828e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001366276952	OUKITEL C21 Quad Камера Android 10 OS смартфон 6,4 ''4000 мА/ч, 20MP FHD + безрамочный экран полный Экран 4 + 64 Гб Встроенная память Octa Core глобальная версия чехол для...		8 561,14 руб.	//aliexpress.ru/item/4001366276952.html?algo_pvid=09ea28f1-9461-4464-9e4a-98fa070aa617&algo_expid=09ea28f1-9461-4464-9e4a-98fa070aa617-5&btsid=0b0a182b16006740120221828e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000136481699	Cubot X19 S смартфон с восьмиядерным процессором Helio P23, ОЗУ 4 Гб, ПЗУ 32 ГБ, 5,93 дюйма, 2160*1080, 4000 мАч, 4G LTE Двойная Задняя Камера Гарантия 1 год Быстрая О...	683 продано	6 475,15 - 6 879,89 руб.	//aliexpress.ru/item/4000136481699.html?algo_pvid=09ea28f1-9461-4464-9e4a-98fa070aa617&algo_expid=09ea28f1-9461-4464-9e4a-98fa070aa617-6&btsid=0b0a182b16006740120221828e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001110983941	UMIDIGI A7 Android 10 6,49 ''большой полноэкранный 4 Гб 64 Гб четырехъядерный процессор 4G глобальная версия смартфона NFC		7 673,82 руб.	//aliexpress.ru/item/4001110983941.html?algo_pvid=09ea28f1-9461-4464-9e4a-98fa070aa617&algo_expid=09ea28f1-9461-4464-9e4a-98fa070aa617-7&btsid=0b0a182b16006740120221828e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000335766393	Глобальная версия Blackview A80 Pro Quad Rear Camera, Восьмиядерный, 4 Гб + 64 ГБ, мобильный телефон, 6,49 дюймов, 4680 мАч, 4G, смартфон	3216 продано	7 471,44 - 8 872,49 руб.	//aliexpress.ru/item/4000335766393.html?algo_pvid=09ea28f1-9461-4464-9e4a-98fa070aa617&algo_expid=09ea28f1-9461-4464-9e4a-98fa070aa617-8&btsid=0b0a182b16006740120221828e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000121323201	Глобальная версия Note 8 Pro 4G Lte Android мобильный телефон 6,0 дюймов 4 Гб ОЗУ 64 Гб ПЗУ 13 МП камера смартфоны распознавание лица разблокировка мобильн...	937 продано	3 518,17 - 5 779,30 руб.	//aliexpress.ru/item/4000121323201.html?s=p&ad_pvid=202009210040126533939951649270018754263_2&algo_pvid=09ea28f1-9461-4464-9e4a-98fa070aa617&algo_expid=09ea28f1-9461-4464-9e4a-98fa070aa617-9&btsid=0b0a182b16006740120221828e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001015020895	Cubot P40 задний Quad Camera смартфон Четыре камера NFC телефон 4 Гб + 128 ГБ 6,2 дюйма 4200 мАч Большая Батарея новая Google Android 10 система две sim-карты мобильные ...	8068 продано	7 738,42 - 8 170,41 руб.	//aliexpress.ru/item/4001015020895.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-0&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001456852190	OUKITEL WP6 6,3 FHD + IP68 глобальная Версия Мобильный телефон 4 Гб 128 ГБ 10000 мАч батарея Восьмиядерный 16 МП Тройная камера прочный смартфон		15 675,32 руб.	//aliexpress.ru/item/1005001456852190.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-1&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001121852902	UMIDIGI A7 Pro мобильный телефон с 6,3-дюймовым дисплеем, ОЗУ 4 Гб, ПЗУ 64 ГБ, 4150 мАч, Android 10	53 продано	7 782,79 - 8 853,03 руб.	//aliexpress.ru/item/4001121852902.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-2&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001054739441	"Смартфон XGODY S20, Android 9,0, 4G, 6,53 "", 19:9, Waterdrop, мобильный телефон, 2 ГБ, 16 ГБ, MTK6737 четыре ядра, 3000 мАч, камера 8 МП"	30 продано	4 841,38 - 6 148,24 руб.	//aliexpress.ru/item/4001054739441.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-3&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000402203559	Оригинальный мини-смартфон Anica i8, Android 6,0, 2,45 дюйма, WCDMA 3G, Wi-Fi, GPS, динамик, мобильный телефон, поддержка Google Store	35 продано	3 581,22 руб.	//aliexpress.ru/item/4000402203559.html?s=p&ad_pvid=2020092100404017713177126508400018756826_12&algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-4&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001248702888	"XGODY A70 3G Смартфон Android 8,1 6 ""18:9 полный Экран 1 ГБ 4 ГБ телефоны MTK6580 4 ядра двойной 5MP Камера 2800 мАч мобильные телефоны"	28 продано	3 227,85 - 4 610,99 руб.	//aliexpress.ru/item/4001248702888.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-5&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000001974030	В наличии OUKITEL C16 Pro смартфон с четырёхъядерным процессором MTK6761P, ОЗУ 3 ГБ, ПЗУ 32 ГБ, 5,71 дюймов, 19:9, отпечаток пальца, LTE, 2600 мАч	19 продано	5 536,45 - 6 584,12 руб.	//aliexpress.ru/item/4000001974030.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-6&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001376398103	[Мировая премьера Flash распродажа в наличии] POCO X3 NFC Snapdragon 732G глобальная версия смартфона Xiaomi 5160mAh 33W зарядка 64MP камера	1755 продано	17 824,36 - 20 937,78 руб.	//aliexpress.ru/item/1005001376398103.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-7&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001368973664	Realme C15 глобальная версия смартфона 4 Гб ОЗУ 64 Гб ПЗУ 6000 мАч большая батарея Быстрая зарядка мобильный телефон 6,5 дюймов телефон Android		10 830,83 руб.	//aliexpress.ru/item/1005001368973664.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-8&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001045436167	"Blackview BV5500 IP68 водонепроницаемый прочный смартфон 2 ГБ + 16 Гб 5,5 ""18:9 экран 4400 мАч Android 8,1 две sim-карты 3G мобильный телефон"	7 продано	5 603,39 - 6 226,07 руб.	//aliexpress.ru/item/4001045436167.html?s=p&ad_pvid=2020092100404017713177126508400018756826_15&algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-9&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001221279003	"OUKITEL WP6 10000 мАч 6,3 ""FHD + безрамочный экран с IP68 Водонепроницаемый мобильный телефон 4 Гб 128 Восьмиядерный 16MP тройные камеры Прочный смартфон"	818 продано	12 452,92 руб.	//aliexpress.ru/item/4001221279003.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-10&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001414488453	Глобальная версия Xiaomi Redmi 9C 3 Гб 64 Гб Смартфон 6,53 дюймов 13 МП Тройная камера 5000 мАч MTK Helio G35 Восьмиядерный 4G мобильный телефон		8 484,09 - 12 142,36 руб.	//aliexpress.ru/item/1005001414488453.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-11&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001093604631	Смартфон DOOGEE S40 3+32ГБ	560 продано	7 004,43 - 7 424,74 руб.	//aliexpress.ru/item/4001093604631.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-12&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000933937854	OUKITEL C18 Pro 6,55 ''HD + 4 Гб 64 Гб Quad Camera смартфон MTK6757 Восьмиядерный Android 9,0 мобильный телефон 4000 мАч	239 продано	8 561,14 - 9 820,52 руб.	//aliexpress.ru/item/4000933937854.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-13&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001408509569	"Глобальная версия Huawei P40 lite 6 ГБ 128 Гб Смартфон 48MP AI камеры 6,4 ""FHD экран Kirin 810 Octa Core 40 Вт QC الهاتف الخلوي"		17 045,22 руб.	//aliexpress.ru/item/1005001408509569.html?s=p&ad_pvid=2020092100404017713177126508400018756826_16&algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-14&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001258875288	XGODY HOTWAV 4G мобильные телефоны 19:9 в виде капли воды, 6,3 дюймов смартфон Android 9,0 4 ядра, 2 Гб оперативной памяти, 16 Гб встроенной памяти, Face ID 4150 мА/ч, ...	11 продано	5 216,55 руб.	//aliexpress.ru/item/4001258875288.html?algo_pvid=d6067e22-4c52-40c5-99d9-0f702582c755&algo_expid=d6067e22-4c52-40c5-99d9-0f702582c755-15&btsid=0b0a182b16006740406272365e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
