id	description	number_of_orders	price	url
4001345521772	Прозрачный ударопрочный чехол для iPhone 11 Pro X Xr Xs Max, мягкий силиконовый чехол для подушки безопасности 6 6s 7 8 Plus 5 5S SE 2020 12 4, задняя крышка	638 продано	51,91 - 74,72 руб.	//aliexpress.ru/item/4001345521772.html?algo_pvid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a&algo_expid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a-0&btsid=0b0a182b16007726520514965eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001179212643	Официальный силиконовый чехол с логотипом для iphone 7 8 6S 6 Plus 11 Pro X XS MAX XR SE, чехол для телефона Apple iphone 7 8 plus X 10	51719 продано	99,10 - 294,94 руб.	//aliexpress.ru/item/4001179212643.html?algo_pvid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a&algo_expid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a-1&btsid=0b0a182b16007726520514965eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001291682047	Чехол для Samsung A01, чехлы, Мягкая силиконовая задняя крышка, прозрачные чехлы для телефонов Samsung Galaxy A01 GalaxyA01 A 01 A015, 5,7 дюйма	141 продано	66,86 - 111,69 руб.	//aliexpress.ru/item/4001291682047.html?algo_pvid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a&algo_expid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a-2&btsid=0b0a182b16007726520514965eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001345190910	Противоударная подушка безопасности для чехол для Xiaomi Mi Note 10 Pro 9 6 8 SE 9T A2 A3 Lite Redmi Note 9s фотокамеры мгновенного действия 8 7 6 K20 K30 Pro 4X 6A 7A 8A 5 Plus чех...	1849 продано	46,41 - 74,72 руб.	//aliexpress.ru/item/4001345190910.html?algo_pvid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a&algo_expid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a-3&btsid=0b0a182b16007726520514965eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001368622264	Защитный чехол для объектива камеры для iPhone 11 Pro Max 6 6S 7 8 Plus SE 2020 XR XSMax X XS, мягкая задняя крышка карамельного цвета, подарок	307 продано	81,01 - 184,83 руб.	//aliexpress.ru/item/1005001368622264.html?s=p&ad_pvid=202009220404123239728715721720000264416_1&algo_pvid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a&algo_expid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a-4&btsid=0b0a182b16007726520514965eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001039633127	Защитный чехол для объектива камеры для iPhone 11 Pro Max 8 7 6 6s Plus Xr XsMax X Xs SE 2020, цветная мягкая задняя крышка, подарок	54028 продано	115,62 - 195,84 руб.	//aliexpress.ru/item/4001039633127.html?algo_pvid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a&algo_expid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a-5&btsid=0b0a182b16007726520514965eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001196357194	Новый оригинальный жидкий силикон мягкий чехол для Samsung A51 A50 S10 плюс S8 S9 S20 Примечание 20 Ультра S10E A71 A70 A21S A30 A31 A41 Coque	7598 продано	132,92 руб.	//aliexpress.ru/item/4001196357194.html?algo_pvid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a&algo_expid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a-6&btsid=0b0a182b16007726520514965eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001463006054	Жидкий силиконовый чехол для Huawei P30 Lite P40 P20 Pro, мягкий чехол для Huawei Mate 20 Lite Honor 8X 9 10 Lite 20 Pro, чехлы		85,73 - 137,64 руб.	//aliexpress.ru/item/1005001463006054.html?algo_pvid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a&algo_expid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a-7&btsid=0b0a182b16007726520514965eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000516039986	Жидкий силиконовый чехол для Xiaomi Mi Note 10 Pro 9 SE 9T Pro A3 A2 Lite тонкий мягкий чехол для Xiaomi Redmi Note 9s 8 Pro 7 8T 7A 8A	43882 продано	150,23 руб.	//aliexpress.ru/item/4000516039986.html?algo_pvid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a&algo_expid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a-8&btsid=0b0a182b16007726520514965eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001349737803	Кожаный чехол-книжка для телефона HUAWEI Mate 30 Mate20 Pro P30 P20 Lite P40 Pro Plus с магнитным бумажником и отделением для карт	38 продано	294,15 - 332,69 руб.	//aliexpress.ru/item/1005001349737803.html?s=p&ad_pvid=202009220404123239728715721720000264416_2&algo_pvid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a&algo_expid=f7c1cdc1-dced-4002-b119-ee201fbc4c1a-9&btsid=0b0a182b16007726520514965eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
