id	description	number_of_orders	price	url
4000245926419	1 шт./лот MC33290 MCZ33290 SOP8	10 продано	61,16 руб.	//aliexpress.ru/item/4000245926419.html?algo_pvid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864&algo_expid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864-0&btsid=0b8b15ea16010102316294096ef4eb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001128222747	1 шт./лот, молния BA5417	10 продано	19,07 руб.	//aliexpress.ru/item/4001128222747.html?algo_pvid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864&algo_expid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864-1&btsid=0b8b15ea16010102316294096ef4eb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32961053585	DIY Bluetooth аудио приемник плата Bluetooth 4,0 4,1 4,2 5,0 MP3 декодер не допускающий потерь плата беспроводной стерео музыкальный модуль 3,7-5 В	4181 продано	103,26 руб.	//aliexpress.ru/item/32961053585.html?algo_pvid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864&algo_expid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864-2&btsid=0b8b15ea16010102316294096ef4eb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000501936463	Официальный TPA3110 XH-A232 30 Вт + 30 Вт 2,0 канальный цифровой стерео аудио усилитель мощности плата DC 8-26 в 3A C6-001	1905 продано	114,38 руб.	//aliexpress.ru/item/4000501936463.html?algo_pvid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864&algo_expid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864-3&btsid=0b8b15ea16010102316294096ef4eb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001175232809	KBPC5010 KBPC3510 выпрямительный мост ворс KBPC1010/1510/2510/610 GBPC3510 диодный мост выпрямителя 50A1000V	26 продано	16,68 - 59,58 руб.	//aliexpress.ru/item/4001175232809.html?algo_pvid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864&algo_expid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864-5&btsid=0b8b15ea16010102316294096ef4eb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32993737904	Черный пластиковый ящик для хранения батарей 1x2x3x4x18650 чехол 1 2 3 4 слота DIY зажим для батарей держатель Контейнер с проводом свинцовая шпилька	1172 продано	47,66 - 73,08 руб.	//aliexpress.ru/item/32993737904.html?algo_pvid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864&algo_expid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864-6&btsid=0b8b15ea16010102316294096ef4eb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32653583398	Завеса MT3608 DC-DC Step Up усилитель конвертера Питание модуль Boost повышающий доска Макс выход 28В 2A для arduino	1647 продано	31,78 - 45,28 руб.	//aliexpress.ru/item/32653583398.html?algo_pvid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864&algo_expid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864-8&btsid=0b8b15ea16010102316294096ef4eb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
2041500641	Dupont Line 120 шт. 10 см 40-контактный штекер-штекер + штекер-гнездо и гнездо-гнездо соединительный провод Dupont кабель для Arduino DIY KIT	1787 продано	49,25 - 142,97 руб.	//aliexpress.ru/item/2041500641.html?algo_pvid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864&algo_expid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864-51&btsid=0b8b15ea16010102316294096ef4eb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001279292147	CH341A XTW100 24 25 серия EEPROM Flash BIOS CH341 USB программатор модуль + SOIC8 SOP8 тестовый зажим для EEPROM 93CXX / 25CXX / 24CXX	10 продано	81,82 - 494,84 руб.	//aliexpress.ru/item/4001279292147.html?s=p&ad_pvid=20200924220351613066721997600002060202_11&algo_pvid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864&algo_expid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864-54&btsid=0b8b15ea16010102316294096ef4eb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000203371860	Dupont Line 40-120 шт., 10 см, 40-контактный штекер-штекер + штекер-гнездо и гнездо-гнездо, соединительный провод Dupont, кабель для Arduino, Набор для творчест...	6802 продано	124,71 - 225,58 руб.	//aliexpress.ru/item/4000203371860.html?algo_pvid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864&algo_expid=6674f3b2-5a6e-4b02-bb1d-ff37b9b9f864-55&btsid=0b8b15ea16010102316294096ef4eb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
