id	description	number_of_orders	price	url
33053770571	Электрический индикатор 90-1000 В, розетка переменного тока, тестер датчика детектора напряжения, ручка, светодиодный светильник	7 продано	89,76 руб.	//aliexpress.ru/item/33053770571.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-0&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000314247227	Набор иголок из нержавеющей стали 10 видов, электронная схема для печатных плат, игла для распайки, сварочный ремонтный инструмент 80 мм 0,7-1,3 м...	80 продано	54,81 руб.	//aliexpress.ru/item/4000314247227.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-2&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000555918684	Понижающий преобразователь напряжения, 200 Вт, 15 А, 8-60 в, 48 В, 1-36 в, 5 В, 12 В, 24 В, 19 в	173 продано	301,83 руб.	//aliexpress.ru/item/4000555918684.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-3&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32988974326	1 шт. CCL маркер для защиты от травления печатной платы, двойная ручка для ремонта, схема для печатной платы CCL, ручка для печатной платы DIY, сини...	85 продано	54,81 руб.	//aliexpress.ru/item/32988974326.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-7&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000012110038	Промышленный преобразователь USB в RS485 CH340G, защитный преобразователь для обновления, Совместимость со стандартом, плата-разъем, модуль		238,29 руб.	//aliexpress.ru/item/4000012110038.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-8&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1693282468	Жк-инвертор, инверторный преобразователь, с функцией управления, с функцией подключения к экрану, с функцией подключения к экрану, и с функц...		3 971,36 руб.	//aliexpress.ru/item/1693282468.html?s=p&ad_pvid=202009242328171679997482053000002392914_2&algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-9&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32817048501	Американский Платон. PLATO 170 штук, DIY плоскогубцы, электронные плоскогубцы, диагональные плоскогубцы	172 продано	110,41 руб.	//aliexpress.ru/item/32817048501.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-10&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33007331242	3,5 дюйма, мини-плоскогубцы, резак для проводов, ножницы для DIY, нагревательные провода, катушка, прочный ручной инструмент	47 продано	103,26 руб.	//aliexpress.ru/item/33007331242.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-11&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32721370364	Электродвигатель для электробритва, беззвучный электродвигатель для электробритва, 2,4 в, 10800 об/мин, 0,05-5,6 Вт	23 продано	65,14 руб.	//aliexpress.ru/item/32721370364.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-14&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33013666681	DIY электрическая деревянная модель гоночного автомобиля, строительные наборы, игрушки для детей, научно-технические изобретения, собранные...	2 продано	254,97 руб.	//aliexpress.ru/item/33013666681.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-15&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32846634625	1 шт. MCP67M-A2 MCP67MV-A2 MCP67MD-A2 MCP77MV-A2 Трафарет Шаблон		157,27 руб.	//aliexpress.ru/item/32846634625.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-18&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32580682443	Гибкий кабель с диафрагмой для объектива 28-75, гибкий кабель для камеры Tamron 28-75, запасные части, бесплатная доставка	4 продано	224,78 руб.	//aliexpress.ru/item/32580682443.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-19&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33036681616	Бесплатная доставка 1 шт прямой нагревательный GF108-300-A1 GF108-320-A1 0,55 мм Трафарет Шаблон		371,72 руб.	//aliexpress.ru/item/33036681616.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-20&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32723190562	S650 S700 zoom S730 объектив DSC-S650 объектив DSC-S700 объектив для Sony DSC-S730 объектив без CCD камеры запасные части Бесплатная доставка		811,75 руб.	//aliexpress.ru/item/32723190562.html?algo_pvid=bdecbc21-b080-4b4c-837d-3c872ea7a61e&algo_expid=bdecbc21-b080-4b4c-837d-3c872ea7a61e-21&btsid=0b8b037216010152968135866ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
