id	description	number_of_orders	price	url
32977643629	Отличный продукт, 0,96 дюймовый OLED IIC белый/желтый синий/синий 12864 OLED дисплей, модуль I2C SSD1306 плата с жк-экраном для Arduino	753 продано	137,41 - 140,59 руб.	//aliexpress.ru/item/32977643629.html?algo_pvid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6&algo_expid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6-1&btsid=0b8b037216010187309515499ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000550087436	Светодиодный TFT ЖК-дисплей 4pin 7Pin128X64 O для Arduino 0,91 0,95 0,96 I2C IIC	138 продано	118,35 - 175,54 руб.	//aliexpress.ru/item/4000550087436.html?algo_pvid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6&algo_expid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6-2&btsid=0b8b037216010187309515499ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32896971385	0,96 дюймовый oled IIC Серийный белый OLED дисплей модуль 128X64 I2C SSD1306 12864 плата с ЖК-экраном GND VDD SCK SDA для Arduino	4811 продано	139,80 - 146,95 руб.	//aliexpress.ru/item/32896971385.html?algo_pvid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6&algo_expid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6-3&btsid=0b8b037216010187309515499ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32709833949	Бесплатная доставка 1 шт ЖК 1602 1602 Модуль синий экран 16x2 символ ЖК-дисплей модуль HD44780 контроллер синий черный свет	71 продано	86,58 руб.	//aliexpress.ru/item/32709833949.html?s=p&ad_pvid=202009250025313575964464064500005800906_1&algo_pvid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6&algo_expid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6-4&btsid=0b8b037216010187309515499ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1969258031	1 шт. TM1637 4-битный цифровой светодиодный модуль дисплея для arduino 7 сегментов 0,36 дюйма, часы с красной анодной трубкой, четыре серии, плата драйв...	1249 продано	52,43 руб.	//aliexpress.ru/item/1969258031.html?algo_pvid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6&algo_expid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6-5&btsid=0b8b037216010187309515499ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001275132454	"Желто-голубой двойной цвет белый 128X64 O светодиодный ЖК-дисплей светодиодный Дисплей модуль для arduino 0,96 ""I2C IIC общаться"	27 продано	147,74 - 154,09 руб.	//aliexpress.ru/item/4001275132454.html?algo_pvid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6&algo_expid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6-6&btsid=0b8b037216010187309515499ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000571253836	Новый IPS 1,14 дюйма 3,3 В 8-контактный SPI HD полноцветный TFT дисплей ST7789 Drive IC 135*240 1 шт.	17 продано	212,08 руб.	//aliexpress.ru/item/4000571253836.html?algo_pvid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6&algo_expid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6-7&btsid=0b8b037216010187309515499ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32604661100	Вольтметр Амперметр постоянного тока 0-100 в 10 А, красный + синий светодиодный амперметр, Двойной цифровой вольтметр, светодиодный дисплей	382 продано	127,09 руб.	//aliexpress.ru/item/32604661100.html?algo_pvid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6&algo_expid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6-8&btsid=0b8b037216010187309515499ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32353783714	Модуль ЖК-дисплея HMI 10,1 дюйма с сенсорным экраном и RS232 RS485, TTL, UART, порт с возможностью подключения к сети		14 741,69 руб.	//aliexpress.ru/item/32353783714.html?s=p&ad_pvid=202009250025313575964464064500005800906_2&algo_pvid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6&algo_expid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6-9&btsid=0b8b037216010187309515499ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32511014601	Модуль 1602 1602 LCD 1 шт., зеленый экран 16x2, ЖК-дисплей Module.1602 5V, зеленый экран и белый код для arduino	1585 продано	47,66 - 98,49 руб.	//aliexpress.ru/item/32511014601.html?algo_pvid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6&algo_expid=5c5f9ebb-24e2-48c5-9636-f8cab988c4a6-10&btsid=0b8b037216010187309515499ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
