id	description	number_of_orders	price	url
33035591420	Алюминий электролитический конденсатор, алюминиевая крышка, 25В/10000 мкФ, алюминиевая крышка, 25В/10000 мкФ электролитический конденсатор с алюм...	178 продано	60,37 руб.	//aliexpress.ru/item/33035591420.html?algo_pvid=3350b748-d89c-4f09-8d79-2cb2f021b284&algo_expid=3350b748-d89c-4f09-8d79-2cb2f021b284-2&btsid=0b8b037216010207616465944ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33048389515	Линейный потенциометр WH148, вал 15 мм с гайками и шайбами 3pin WH148 B1K B2K B5K B10K B20K B50K B100K B250K B500K B1M, 1 шт.	597 продано	27,01 руб.	//aliexpress.ru/item/33048389515.html?algo_pvid=3350b748-d89c-4f09-8d79-2cb2f021b284&algo_expid=3350b748-d89c-4f09-8d79-2cb2f021b284-3&btsid=0b8b037216010207616465944ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000118745242	Мини-динамик для ПК, внутренняя BIOS, материнская плата, встроенный чехол, звуковая плата, звуковой сигнал, сигнализация, Новинка	816 продано	18,27 руб.	//aliexpress.ru/item/4000118745242.html?algo_pvid=3350b748-d89c-4f09-8d79-2cb2f021b284&algo_expid=3350b748-d89c-4f09-8d79-2cb2f021b284-5&btsid=0b8b037216010207616465944ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32954751214	120 шт 1 набор 120 шт 12 значений 0,22 мкФ-470 мкФ алюминиевый электролитический конденсатор набор	722 продано	129,47 руб.	//aliexpress.ru/item/32954751214.html?algo_pvid=3350b748-d89c-4f09-8d79-2cb2f021b284&algo_expid=3350b748-d89c-4f09-8d79-2cb2f021b284-15&btsid=0b8b037216010207616465944ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33005848963	Набор металлических пленочных резисторов, набор светодиодных диодов, электролитический конденсатор, керамический набор транзисторов, наб...	574 продано	822,08 руб.	//aliexpress.ru/item/33005848963.html?s=p&ad_pvid=2020092500592229427001160840005845614_4&algo_pvid=3350b748-d89c-4f09-8d79-2cb2f021b284&algo_expid=3350b748-d89c-4f09-8d79-2cb2f021b284-19&btsid=0b8b037216010207616465944ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000470098042	Алюминиевый металлический корпус 25 Вт 50 Вт 100 Вт, чехол, резистор с проволочной обмоткой 0,01-100 к 0,05 0,1 0,5 1 2 6 8 10 20 200 500 1 к 10 к ом	463 продано	75,46 - 135,03 руб.	//aliexpress.ru/item/4000470098042.html?s=p&ad_pvid=2020092500592229427001160840005845614_5&algo_pvid=3350b748-d89c-4f09-8d79-2cb2f021b284&algo_expid=3350b748-d89c-4f09-8d79-2cb2f021b284-24&btsid=0b8b037216010207616465944ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32999710631	GREAT IT 1 шт., звуковой сигнал, постоянный ток 12 в 85 дБ, мини электронный сигнал	326 продано	55,60 руб.	//aliexpress.ru/item/32999710631.html?algo_pvid=3350b748-d89c-4f09-8d79-2cb2f021b284&algo_expid=3350b748-d89c-4f09-8d79-2cb2f021b284-26&btsid=0b8b037216010207616465944ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32998649900	WH148 1K 2K 5K 10K 20K 50K 100K 250K 500K 1M Ом 3-контактный вязанный вал линейный конический вращающийся потенциометр резистор с ручкой для Audrino	356 продано	11,12 руб.	//aliexpress.ru/item/32998649900.html?algo_pvid=3350b748-d89c-4f09-8d79-2cb2f021b284&algo_expid=3350b748-d89c-4f09-8d79-2cb2f021b284-28&btsid=0b8b037216010207616465944ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000830306746	1 шт. 3590S 6,35 мм прецизионная ручка масштабирования, оснащенная мультиповоротным потенциометром	213 продано	73,08 руб.	//aliexpress.ru/item/4000830306746.html?s=p&ad_pvid=2020092500592229427001160840005845614_6&algo_pvid=3350b748-d89c-4f09-8d79-2cb2f021b284&algo_expid=3350b748-d89c-4f09-8d79-2cb2f021b284-29&btsid=0b8b037216010207616465944ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32811218003	100 шт./кор. RM065 углеродная пленка, горизонтальный подстроечный потенциометр, набор 10 значений, переменный резистор 500R - 1 м	8 продано	250,20 руб.	//aliexpress.ru/item/32811218003.html?s=p&ad_pvid=2020092500592229427001160840005845614_7&algo_pvid=3350b748-d89c-4f09-8d79-2cb2f021b284&algo_expid=3350b748-d89c-4f09-8d79-2cb2f021b284-34&btsid=0b8b037216010207616465944ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
