id	description	number_of_orders	price	url
32445521808	Новинка, 10 шт./компл., Размер 9, пустые иглы из нержавеющей стали, инструмент для удаления электронных компонентов, оптовая продажа	10 продано	103,26 руб.	//aliexpress.ru/item/32445521808.html?algo_pvid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49&algo_expid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49-0&btsid=0b8b037216010169608051007ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32982893208	Мини Портативный нож для зачистки проводов, щипцы для обжима, инструмент для зачистки кабеля, многофункциональный инструмент, карманный ин...	407 продано	17,48 руб.	//aliexpress.ru/item/32982893208.html?algo_pvid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49&algo_expid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49-1&btsid=0b8b037216010169608051007ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32968011684	Промышленная материнская плата для ПК, которую можно использовать, была протестирована, но исправна.		13 502,63 руб.	//aliexpress.ru/item/32968011684.html?s=p&ad_pvid=202009242356012671905840598120002437436_1&algo_pvid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49&algo_expid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49-4&btsid=0b8b037216010169608051007ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32997513705	Американский Платон. PLATO 170 Wishful Clamp DIY Электронные диагональные плоскогубцы боковые режущие кусачки резак для проволоки	298 продано	119,94 руб.	//aliexpress.ru/item/32997513705.html?algo_pvid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49&algo_expid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49-6&btsid=0b8b037216010169608051007ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32808394333	Регулятор Двигателя пост. Тока 12V24V36V48V высокой мощности драйвер модуль PWM контроллер 20A		629,07 руб.	//aliexpress.ru/item/32808394333.html?algo_pvid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49&algo_expid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49-7&btsid=0b8b037216010169608051007ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32967258108	ЖК-инвертор 104PWBR1-B		1 429,69 руб.	//aliexpress.ru/item/32967258108.html?s=p&ad_pvid=202009242356012671905840598120002437436_2&algo_pvid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49&algo_expid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49-9&btsid=0b8b037216010169608051007ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000042458146	Sipeed Debugger STLINK V2 STM8/STM32 Sister, TTL, STM32, для создания и создания новых моделей, в режиме реального времени, в режиме реального времени	30 продано	751,39 руб.	//aliexpress.ru/item/4000042458146.html?algo_pvid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49&algo_expid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49-12&btsid=0b8b037216010169608051007ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32918078862	Кабель для программирования ПЛК, для последовательного ПЛК, совместимый с FX2N/FX1N/FX0/FX0N/FX0S/FX1, USB-SC09 SC09 FX		1 985,68 руб.	//aliexpress.ru/item/32918078862.html?s=p&ad_pvid=202009242356012671905840598120002437436_3&algo_pvid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49&algo_expid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49-14&btsid=0b8b037216010169608051007ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32547141487	Модуль датчика обнаружения ультрафиолета S12SD, светильник, Diy Kit, электронный модуль платы блока программного управления 240nm-370nm для Arduino	69 продано	139 руб.	//aliexpress.ru/item/32547141487.html?algo_pvid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49&algo_expid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49-15&btsid=0b8b037216010169608051007ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32973215632	ЖК-инвертор CXA-P1212C-WJL		2 382,82 руб.	//aliexpress.ru/item/32973215632.html?s=p&ad_pvid=202009242356012671905840598120002437436_4&algo_pvid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49&algo_expid=b27b76a9-f74e-452c-b67c-7ca2d9b8ef49-19&btsid=0b8b037216010169608051007ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
