id	description	number_of_orders	price	url
1005001377014949	Комплект разнообразных термоусадочных трубок, полиолефиновые трубки с термоусадкой для изоляции проводов/кабелей, 164 шт/комплект		136,62 руб.	//aliexpress.ru/item/1005001377014949.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-0&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32996482077	Практичный многометровый Тестовый Кабель 1000 в 110 см, Универсальный цифровой мультиметр, провод зонда 20 А	108 продано	92,93 руб.	//aliexpress.ru/item/32996482077.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-2&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32911886494	Полиолефиновые термоусадочные трубки 127/140/328/530 шт., трубные Кабельные муфты, набор проводов 8 размеров, разные цвета/черный	917 продано	200,96 - 393,96 руб.	//aliexpress.ru/item/32911886494.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-3&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33037146704	127 шт./328 шт. комплекты электрических кабельных трубок для автомобиля Термоусадочные трубки муфта для обёртывания Ассорти 8 размеров смешанн...	973 продано	140,59 - 177,13 руб.	//aliexpress.ru/item/33037146704.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-5&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000272238274	Термоусадочные трубки, 1 м/лот, черные, 0,6 мм, 0,8 мм, 1 мм, 1,5 мм, 2 мм, 2,5 мм, 3 мм, 3,5 мм, 4 мм, 4,5 мм	337 продано	11,92 - 25,42 руб.	//aliexpress.ru/item/4000272238274.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-7&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000279416526	1 м/лот, черный 5 мм 5,5 мм 6 мм 7 мм 8 мм 9 мм 10 мм 11 мм 12 мм 13 мм, термоусадочная трубка, трубка, оболочка, обертка, провод	146 продано	22,24 - 50,04 руб.	//aliexpress.ru/item/4000279416526.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-8&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000325419034	127 шт./328 шт., комплект автомобильных электрических кабелей, термоусадочная трубка, Трубная обертка, 8 размеров, разные цвета	76 продано	115,17 - 185,86 руб.	//aliexpress.ru/item/4000325419034.html?s=p&ad_pvid=202009242246409034609641783750002124990_2&algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-9&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001011471159	127/328/530 шт./компл. термоусадочные трубки Электрическая обертка провода кабельные рукава PE 2:1 изолированные рукава ассорти	214 продано	28,60 - 316,13 руб.	//aliexpress.ru/item/4001011471159.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-10&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000830679090	100 шт., черный, белый, красный, желтый, зеленый, самоблокирующийся, пластиковый, нейлоновый провод, застежка-молния, черные кабельные стяжки, п...	41 продано	63,55 - 133,44 руб.	//aliexpress.ru/item/4000830679090.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-11&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001228898538	1 мм 63/37 флюс 2.0% 45 футов Оловянная свинцовая Оловянная проволока расплава канифоли Ядро пайки провода рулон для diy	87 продано	157,27 руб.	//aliexpress.ru/item/4001228898538.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-13&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001393566382	164 шт./кор. полиолефина сокращения Ассорти Термоусадочные трубки жильный кабель изолированный трубки комплект трубок		135,03 - 293,09 руб.	//aliexpress.ru/item/1005001393566382.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-16&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001081504827	"1 м кабель для проверки разъема типа ""крокодил"" и ""AV"", разъем типа ""банан"", двойной тестовый щуп 35 мм, зажим для измерения мультиметра"	29 продано	64,34 руб.	//aliexpress.ru/item/4001081504827.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-17&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32776503023	1 шт., ключи от дверей лифта, треугольный ключ, универсальный шлейф	170 продано	131,06 руб.	//aliexpress.ru/item/32776503023.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-18&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001451055649	10 шт./лот разъем клеммы синий винт тип 250 В/16A KF300-5.0 KF301-5.0 2P 3P шаг 5,0 мм прямой контакт PCB клеммы блок		102,47 - 146,95 руб.	//aliexpress.ru/item/1005001451055649.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-23&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32877100036	V48B5C200AL модуль питания D-D CONV		7 717,15 руб.	//aliexpress.ru/item/32877100036.html?s=p&ad_pvid=202009242246409034609641783750002124990_5&algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-24&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32784559313	Многофункциональный ключ для лифта 5 в 1, 1 шт., треугольный ключ для поезда, смеситель для метро, счетчик воды, четыре угловых ключа	76 продано	293,89 руб.	//aliexpress.ru/item/32784559313.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-27&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32607791213	Гибкий кабель с ленточным DEH-P88RS для автомобильных аудио моделей, DEH-P75BT, DEH-P85BT, XNP7026, DEH-P80RS, XNP-7026	7 продано	469,42 руб.	//aliexpress.ru/item/32607791213.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-31&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001119550360	Набор термоусадочных трубок 580 шт./750 шт., изоляционный Полиолефиновый термоусадочный набор, термоусадочная коробка	272 продано	290,71 - 606,83 руб.	//aliexpress.ru/item/4001119550360.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-32&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001286718173	120 шт., мужская и женская латунная Шестигранная стойка, стойка, распорная стойка, винтовая гайка M3 для печатной платы	5 продано	295,47 руб.	//aliexpress.ru/item/4001286718173.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-33&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000711502812	V300C5M100BL 300Vin 5Vout 100 Вт DC-DC модуль преобразователя		8 064,25 руб.	//aliexpress.ru/item/4000711502812.html?s=p&ad_pvid=202009242246409034609641783750002124990_7&algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-34&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32857884934	GREATZT 1 комплект = 150 шт. 7,28 м черный и красный 2:1 ассортимент термоусадочных трубок, комплект проводов для автомобильных кабелей	18 продано	193,81 руб.	//aliexpress.ru/item/32857884934.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-35&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32985709892	328 шт. 127 шт. наборы электрических кабелей для автомобиля, Наборы Трубок для термоусадочной трубки, трубчатая обертка, провод, ассорти, полиол...	14 продано	31,78 - 64,34 руб.	//aliexpress.ru/item/32985709892.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-36&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001382670579	30 м x 5-40 мм высокотемпературная полиимидная лента термостойкая изоляционная Полиимидная Пленка клейкая лента 10 мм		54,02 - 285,94 руб.	//aliexpress.ru/item/1005001382670579.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-37&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32953807933	TZT 127 шт./компл. Ассорти термоусадочная трубка черный провод обмотка Электрический изоляционный кабель Sleeving 2-13 мм	87 продано	100,08 руб.	//aliexpress.ru/item/32953807933.html?algo_pvid=ca9a97c7-736c-4f26-b41f-7bde56f77c48&algo_expid=ca9a97c7-736c-4f26-b41f-7bde56f77c48-38&btsid=0b8b037016010128003413091e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
