id	description	number_of_orders	price	url
32601503910	Синий светодиодный светильник, выключатель без фиксации символов питания, чехол для компьютера, кнопка переключения, Прямая поставка	5 продано	97,70 руб.	//aliexpress.ru/item/32601503910.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-1&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32848028776	Плата усилителя мощности TDA7492P, bluetooth-ресивер, аудиоплата 2x25 Вт, мини усилитель мощности DIY, двухканальный, Прямая поставка	16 продано	609,21 руб.	//aliexpress.ru/item/32848028776.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-3&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32345295294	Заводской выход наружный металлический знак, почищенные из нержавеющей стали буквы, атласная отделка металла обратный магазин именные зна...	3 продано	94,52 руб.	//aliexpress.ru/item/32345295294.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-5&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001160449475	12 В P4 анимационный светодиодный вывеска автомобильный этикет светильник Bluetooth полноцветный DIY граффити логотип светодиодный вывеска сообщ...		2 859,38 руб.	//aliexpress.ru/item/4001160449475.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-6&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1885653007	Производственная наружная уличная использованная реклама задняя освещенная металлическая светодиодная вывеска буквы, галогеновая подсве...	3 продано	158,07 руб.	//aliexpress.ru/item/1885653007.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-7&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32323057785	Заводская розетка уличная реклама акриловый знак светодиодные буквы для имени ресторана бизнес магазин вывески украшения стен		102,47 руб.	//aliexpress.ru/item/32323057785.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-8&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32995967071	Популярная 3D светодиодная табличка из нержавеющей стали, магазин букв		31 770,88 руб.	//aliexpress.ru/item/32995967071.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-9&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32667027787	Заводская Продажа наружной рекламы с подсветкой из нержавеющей стали светодиодные знаки буквы, металлические светодиодные буквы	3 продано	118,35 руб.	//aliexpress.ru/item/32667027787.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-10&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32772985122	Изготовленные на заказ напольные/крытые покрашенные и отполированные латунные металлические буквы из нержавеющей стали		51 111,41 руб.	//aliexpress.ru/item/32772985122.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-11&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001044573683	Доступные белые неоновые световые знаки natty, гибкие неоновые буквы с прозрачной акриловой задней панелью для стены		14 138,05 руб.	//aliexpress.ru/item/4001044573683.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-12&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000307895874	Защитные туфли Xia Fei, тканые, дышащие, с большой сеткой, 3 цвета, 36-48		2 856,21 руб.	//aliexpress.ru/item/4000307895874.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-13&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32823570984	СВЕТОДИОДНЫЕ знаки буквы H 15 см с корпусом из нержавеющей стали	1 продано	1 747,40 руб.	//aliexpress.ru/item/32823570984.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-14&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001190863820	Белый светодиодный открытый знак для бизнеса-белый неоновый стиль, открытый светильник, указатели, красивый дизайн для привлечения клиенто...		3 884 руб.	//aliexpress.ru/item/4001190863820.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-15&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
261162229	25 см вращающийся кристаллический дисплей, подставка, светодиоды, яркость		3 176,30 руб.	//aliexpress.ru/item/261162229.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-16&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001334290928	"Функция ""антипотеря блестящие детские Безопасность веревка для учатся ходить Детские анти-потерянный на лямках джинсовое шнурка на открыт..."		754,56 руб.	//aliexpress.ru/item/4001334290928.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-17&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000349039482	Индуктивный датчик приближения NPN out, 5 мм, датчик приближения, индуктивный датчик, датчик NPN out, с нормальной открытием, не работает на расстоя...		131,85 руб.	//aliexpress.ru/item/4000349039482.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-18&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001302745401	Открытый выдвижной детский предохранительный шнурок вокруг силиконового полезного продукта Детский безопасный шнурок анти-потерянная ру...		399,52 руб.	//aliexpress.ru/item/1005001302745401.html?algo_pvid=0e858978-cfa5-4105-b716-eb7deb1c14c0&algo_expid=0e858978-cfa5-4105-b716-eb7deb1c14c0-19&btsid=0b8b037216010148779634339ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
