id	description	number_of_orders	price	url
32919829940	12 В постоянного тока 85 дБ, мини электронный сигнал тревоги, Постоянный тон, Прямая поставка		74,67 руб.	//aliexpress.ru/item/32919829940.html?algo_pvid=fedca3b9-3147-4034-97c0-881328f96db3&algo_expid=fedca3b9-3147-4034-97c0-881328f96db3-0&btsid=0b8b037216010146578652252ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32690591655	Цифровой дисплей, мини USB измеритель напряжения тока, портативный мини детектор тока и напряжения зарядное устройство	145 продано	69,11 руб.	//aliexpress.ru/item/32690591655.html?algo_pvid=fedca3b9-3147-4034-97c0-881328f96db3&algo_expid=fedca3b9-3147-4034-97c0-881328f96db3-1&btsid=0b8b037216010146578652252ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32831217667	Профессиональный RJ45 RJ11 RJ12 CAT5 UTP сетевой LAN USB кабель тестовый er детектор удаленные тестовые инструменты сетевой инструмент	27 продано	115,17 руб.	//aliexpress.ru/item/32831217667.html?algo_pvid=fedca3b9-3147-4034-97c0-881328f96db3&algo_expid=fedca3b9-3147-4034-97c0-881328f96db3-2&btsid=0b8b037216010146578652252ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001224613141	Новый Электрический 35 мм Дальний удар, толкающий соленоид, постоянный ток 12 В, небольшой электромагнитный Электрический магнит, прочный		905,48 руб.	//aliexpress.ru/item/4001224613141.html?algo_pvid=fedca3b9-3147-4034-97c0-881328f96db3&algo_expid=fedca3b9-3147-4034-97c0-881328f96db3-3&btsid=0b8b037216010146578652252ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32922827298	Мини-микрофон для ПК, ноутбука, скайпа, 3,5 мм, 1 шт.	48 продано	90,55 руб.	//aliexpress.ru/item/32922827298.html?algo_pvid=fedca3b9-3147-4034-97c0-881328f96db3&algo_expid=fedca3b9-3147-4034-97c0-881328f96db3-4&btsid=0b8b037216010146578652252ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32949749017	USB плата с зарядным портом и 12-контактным гибким кабелем для контроллера PS4 и PS4, Oct18, Прямая поставка	12 продано	72,28 руб.	//aliexpress.ru/item/32949749017.html?algo_pvid=fedca3b9-3147-4034-97c0-881328f96db3&algo_expid=fedca3b9-3147-4034-97c0-881328f96db3-5&btsid=0b8b037216010146578652252ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32768827725	USB/кабель программирования PPI для Siemens, ПК/PPI (PCPPI) Версия USB 6ES7 901-3DB30-0XA0 Win7 Wincc Runtime, 1 шт., для Siemens, USB-PPI, PC/PPI (PCPPI)	8 продано	1 111,19 руб.	//aliexpress.ru/item/32768827725.html?algo_pvid=fedca3b9-3147-4034-97c0-881328f96db3&algo_expid=fedca3b9-3147-4034-97c0-881328f96db3-6&btsid=0b8b037216010146578652252ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32997377190	Переходник SATA-USB	37 продано	240,67 руб.	//aliexpress.ru/item/32997377190.html?algo_pvid=fedca3b9-3147-4034-97c0-881328f96db3&algo_expid=fedca3b9-3147-4034-97c0-881328f96db3-7&btsid=0b8b037216010146578652252ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32923219128	10 шт., Micro USB, MK5P, 5pin, гнездовой разъем, Micro USB, Прямая зарядка, Прямая поставка	34 продано	46,07 руб.	//aliexpress.ru/item/32923219128.html?algo_pvid=fedca3b9-3147-4034-97c0-881328f96db3&algo_expid=fedca3b9-3147-4034-97c0-881328f96db3-8&btsid=0b8b037216010146578652252ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32998176039	USB повышающий преобразователь, 5 В-9 в 12 в пост. Тока, USB кабель-преобразователь + 3,5x1,35 мм разъем для питания/зарядного устройства/преобразоват...	6 продано	219,22 руб.	//aliexpress.ru/item/32998176039.html?algo_pvid=fedca3b9-3147-4034-97c0-881328f96db3&algo_expid=fedca3b9-3147-4034-97c0-881328f96db3-9&btsid=0b8b037216010146578652252ec9ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
