id	description	number_of_orders	price	url
4000801012283	Складной синий супер яркий светодиодный USB светильник, 1 шт., Мини Портативный Гибкий книжный светильник, светильник для чтения для мобильно...	12 продано	58,78 руб.	//aliexpress.ru/item/4000801012283.html?algo_pvid=f2a54fef-770b-452e-80ca-3c6eef6f0a19&algo_expid=f2a54fef-770b-452e-80ca-3c6eef6f0a19-0&btsid=0b8b037016010121785728222e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000961274985	Светодиодный паяльная станция 74*63 мм, для демонтажа BGA, Сварочная паяльная станция, алюминиевая нагревательная пластина PTC, 300 Вт, 270 градусов	92 продано	158,86 - 397,14 руб.	//aliexpress.ru/item/4000961274985.html?algo_pvid=f2a54fef-770b-452e-80ca-3c6eef6f0a19&algo_expid=f2a54fef-770b-452e-80ca-3c6eef6f0a19-2&btsid=0b8b037016010121785728222e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32388520882	0,36 дюймовый зеленый цифровой вольтметр постоянного тока, светодиодный цифровой вольтметр DC4.5V30V	29 продано	58,78 руб.	//aliexpress.ru/item/32388520882.html?algo_pvid=f2a54fef-770b-452e-80ca-3c6eef6f0a19&algo_expid=f2a54fef-770b-452e-80ca-3c6eef6f0a19-8&btsid=0b8b037016010121785728222e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000307636326	Y & J Интеллектуальная цифровая фоторамка художественная Фреска высокое разрешение фото музыкальная рамка экрана 21,5 Дюймов Большой размер		54 010,50 руб.	//aliexpress.ru/item/4000307636326.html?s=p&ad_pvid=2020092422361912851324400974000002112001_2&algo_pvid=f2a54fef-770b-452e-80ca-3c6eef6f0a19&algo_expid=f2a54fef-770b-452e-80ca-3c6eef6f0a19-9&btsid=0b8b037016010121785728222e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32411095245	W1209 мини-термостат контроллер температуры инкубационный термостат переключатель контроля температуры Переключатель контроля температуры	128 продано	26,22 - 145,36 руб.	//aliexpress.ru/item/32411095245.html?algo_pvid=f2a54fef-770b-452e-80ca-3c6eef6f0a19&algo_expid=f2a54fef-770b-452e-80ca-3c6eef6f0a19-10&btsid=0b8b037016010121785728222e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32905334554	0,28 дюймовый цифровой DC 3,5 в-30 в светодиодный мини дисплей модуль постоянного тока 0-100 в вольтметр тестер напряжения измерительный прибор с п...	56 продано	69,90 - 80,23 руб.	//aliexpress.ru/item/32905334554.html?algo_pvid=f2a54fef-770b-452e-80ca-3c6eef6f0a19&algo_expid=f2a54fef-770b-452e-80ca-3c6eef6f0a19-11&btsid=0b8b037016010121785728222e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000307334202	Y & J Интеллектуальная цифровая фоторамка художественная Фреска Высокое разрешение фото Музыкальная фоторамка 49 дюймов Большой размер наст...		64 177,18 руб.	//aliexpress.ru/item/4000307334202.html?s=p&ad_pvid=2020092422361912851324400974000002112001_3&algo_pvid=f2a54fef-770b-452e-80ca-3c6eef6f0a19&algo_expid=f2a54fef-770b-452e-80ca-3c6eef6f0a19-14&btsid=0b8b037016010121785728222e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32852334816	CFsunbird мини-вольтметр для постоянного тока 4,5 в-30.0 в, высококачественный 0,56 дюймовый светодиодный цифровой вольтметр, подходящий для разных с...	5 продано	80,23 - 96,91 руб.	//aliexpress.ru/item/32852334816.html?algo_pvid=f2a54fef-770b-452e-80ca-3c6eef6f0a19&algo_expid=f2a54fef-770b-452e-80ca-3c6eef6f0a19-15&btsid=0b8b037016010121785728222e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000961546839	PTC нагревательный термостат нагревательная пластина 220 в 300 Вт 260 градусов для ТВ ПОДСВЕТКА светодиодный сварочный паяльник	5 продано	470,21 - 567,91 руб.	//aliexpress.ru/item/4000961546839.html?algo_pvid=f2a54fef-770b-452e-80ca-3c6eef6f0a19&algo_expid=f2a54fef-770b-452e-80ca-3c6eef6f0a19-16&btsid=0b8b037016010121785728222e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32812670431	Резистор 820 Ом, 1/4 Вт, 5%, DIP (TH) (упаковка 100 шт.)	5 продано	38,92 руб.	//aliexpress.ru/item/32812670431.html?algo_pvid=f2a54fef-770b-452e-80ca-3c6eef6f0a19&algo_expid=f2a54fef-770b-452e-80ca-3c6eef6f0a19-17&btsid=0b8b037016010121785728222e14e6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
